side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2024-06-03 12:00:00,2024-06-03 12:20:00,2328.355,2333.2492214285717,2318.5665571428567,0.1,0.1,0.48942214285716545,0.0,0.016,0.009999999999990905,0.0,0,2024-06-03 12:30:00,2333.3492214285716,sl,False,-0.49942214285715636,-1.0204322590343227
1,2024-06-06 13:30:00,2024-06-06 14:15:00,2358.585,2354.05845,2367.6381,0.11,0.11,0.4979205000000047,0.0,0.0176,0.0,0.0,0,2024-06-06 15:05:00,2367.6381,tp,False,0.9958410000000094,2.0
-1,2024-06-10 13:25:00,2024-06-10 13:35:00,2305.108,2308.595414285714,2298.1331714285725,0.14,0.14,0.48823799999993756,0.0,0.022400000000000003,0.01399999999998727,0.0,0,2024-06-10 15:40:00,2308.695414285714,sl,False,-0.5022379999999248,-1.0286745398760215
-1,2024-06-18 15:00:00,2024-06-18 15:15:00,2323.898,2327.8447,2316.0046,0.13,0.13,0.5130709999999954,0.0,0.020800000000000003,0.012999999999988177,0.0,0,2024-06-18 15:40:00,2327.9447,sl,False,-0.5260709999999835,-1.0253376238376135
1,2024-08-02 15:50:00,2024-08-02 16:45:00,2426.988,2410.697992857143,2459.568014285713,0.03,0.03,0.4887002142857,0.0,0.0048,0.0029999999999972713,-0.01617,2,2024-08-05 10:55:00,2410.5979928571433,sl,False,-0.5078702142856972,-1.0392265021369322
-1,2024-08-14 10:15:00,2024-08-14 10:50:00,2473.935,2478.7572857142854,2464.290428571429,0.1,0.1,0.4822285714285499,0.0,0.016,0.002,0.0,0,2024-08-14 12:00:00,2474.848,news_close,False,-0.0913000000000011,-0.1893293044199657
1,2024-09-26 15:20:00,2024-09-26 16:10:00,2664.715,2657.9154,2678.3142000000007,0.07,0.07,0.4759720000000198,0.0,0.011200000000000002,0.0014000000000000002,-0.03773000000000001,1,2024-09-27 12:00:00,2665.955,news_close,False,0.049069999999984716,0.10309429966464975
-1,2024-10-01 15:05:00,2024-10-01 15:25:00,2664.865,2670.9471642857143,2652.700671428571,0.08,0.08,0.48657314285715986,0.0,0.0128,0.007999999999992725,0.0,0,2024-10-01 16:35:00,2671.047164285714,sl,False,-0.4945731428571526,-1.016441515766811
-1,2024-10-08 12:30:00,2024-10-08 12:45:00,2648.795,2652.537792857143,2641.3094142857144,0.13,0.13,0.48656307142856803,0.0,0.020800000000000003,0.0,0.0,0,2024-10-08 13:10:00,2641.3094142857144,tp,False,0.9731261428571361,2.0
-1,2024-11-13 14:35:00,2024-11-13 14:40:00,2608.415,2619.050321428572,2587.1443571428563,0.04,0.04,0.4254128571428737,0.0,0.0064,0.0,0.0,0,2024-11-13 16:55:00,2587.1443571428563,tp,False,0.8508257142857474,2.0
-1,2024-12-19 08:00:00,2024-12-19 08:20:00,2617.215,2622.7129214285715,2606.2191571428575,0.09,0.09,0.4948129285714185,0.0,0.0144,0.008999999999991815,0.0,0,2024-12-19 09:40:00,2622.8129214285714,sl,False,-0.5038129285714104,-1.0181886920901115
1,2025-01-03 09:00:00,2025-01-03 09:05:00,2653.335,2649.7175142857145,2660.569971428571,0.14,0.14,0.506447999999973,0.0,0.022400000000000003,0.01399999999998727,0.0,0,2025-01-03 13:20:00,2649.6175142857146,sl,False,-0.5204479999999604,-1.027643509303992
-1,2025-03-11 14:30:00,2025-03-11 15:00:00,2917.525,2922.402614285714,2907.769771428572,0.1,0.1,0.4877614285714117,0.0,0.016,0.009999999999990905,0.0,1,2025-03-12 09:00:00,2922.502614285714,sl,False,-0.4977614285714026,-1.0205018261269234
1,2025-04-22 14:30:00,2025-04-22 14:45:00,3426.735,3409.6144285714286,3460.9761428571433,0.02,0.02,0.3424114285714313,0.0,0.0032,0.001999999999998181,0.0,0,2025-04-22 16:00:00,3409.5144285714287,sl,False,-0.3444114285714295,-1.0058409265378272
