side,signal_time,entry_time,entry_price,sl,tp,lots,oz,risk_usd,commission_usd,spread_cost_usd,slippage_cost_usd,tp2,tp1_oz,tp1_filled,partial_pnl_usd,swap_usd,rollovers,exit_time,exit_price,exit_reason,ambiguous,pnl_usd,r_multiple
-1,2021-05-25 07:40:00,2021-05-25 07:45:00,1884.138,1887.3570071428574,1877.699985714285,0.16,0.16,0.5150411428571897,0.0,0.0256,0.0032,,0.0,False,0.0,0.0,0,2021-05-25 13:30:00,1881.008,news_close,False,0.500799999999981,0.9723495043945306
1,2021-09-10 14:00:00,2021-09-10 14:05:00,1794.788,1789.358942857143,1805.6461142857142,0.09,0.09,0.48861514285714064,0.0,0.0144,0.008999999999991815,,0.0,False,0.0,0.0,0,2021-09-10 17:50:00,1789.258942857143,sl,False,-0.49761514285713243,-1.0184194045795736
1,2021-11-02 12:10:00,2021-11-02 12:25:00,1791.178,1787.9788714285714,1797.5762571428575,0.16,0.16,0.5118605714285878,0.0,0.0256,0.01599999999998545,,0.0,False,0.0,0.0,0,2021-11-02 14:05:00,1787.8788714285715,sl,False,-0.5278605714285731,-1.031258512362712
-1,2021-11-19 11:10:00,2021-11-19 11:30:00,1860.598,1864.9035285714285,1851.9869428571428,0.12,0.12,0.5166634285714281,0.0,0.0192,0.011999999999989085,,0.0,False,0.0,0.0,0,2021-11-19 14:05:00,1865.0035285714284,sl,False,-0.5286634285714171,-1.0232259520151619
-1,2022-04-06 10:25:00,2022-04-06 10:30:00,1928.098,1933.4827142857143,1917.3285714285712,0.09,0.09,0.4846242857142943,0.0,0.0144,0.0018,,0.0,False,0.0,0.0,0,2022-04-06 14:00:00,1930.6280000000002,news_close,False,-0.227700000000018,-0.469848512986525
-1,2022-04-08 12:40:00,2022-04-08 13:00:00,1934.542,1939.0352214285715,1925.5555571428567,0.11,0.11,0.4942543571428746,0.0,0.0176,0.010999999999989995,,0.0,False,0.0,0.0,0,2022-04-08 13:35:00,1939.1352214285714,sl,False,-0.5052543571428646,-1.0222557471492562
1,2022-06-17 15:30:00,2022-06-17 16:20:00,1840.178,1836.3190642857144,1847.8958714285716,0.13,0.13,0.5016616428571457,0.0,0.020800000000000003,0.012999999999988177,,0.0,False,0.0,0.0,0,2022-06-17 19:00:00,1836.2190642857145,sl,False,-0.5146616428571338,-1.0259138807702108
-1,2022-06-22 11:55:00,2022-06-22 12:00:00,1838.408,1843.1376571428573,1828.9486857142851,0.1,0.1,0.47296571428573775,0.0,0.016,0.009999999999990905,,0.0,False,0.0,0.0,0,2022-06-22 12:40:00,1843.2376571428572,sl,False,-0.48296571428572865,-1.0211431816259509
-1,2022-06-24 08:20:00,2022-06-24 09:15:00,1827.232,1831.900357142857,1817.8952857142858,0.1,0.1,0.4668357142857076,0.0,0.016,0.0,,0.0,False,0.0,0.0,0,2022-06-24 13:05:00,1817.8952857142858,tp,False,0.9336714285714152,2.0
1,2022-09-22 07:30:00,2022-09-22 07:35:00,1659.122,1655.3817857142858,1666.6024285714286,0.13,0.13,0.48622785714285555,0.0,0.020800000000000003,0.0,,0.0,False,0.0,0.0,0,2022-09-22 08:10:00,1666.6024285714286,tp,False,0.9724557142857111,2.0
1,2022-10-27 08:00:00,2022-10-27 09:10:00,1662.048,1658.6981928571429,1668.7476142857142,0.15,0.15,0.5024710714285675,0.0,0.024,0.003,,0.0,False,0.0,0.0,0,2022-10-27 12:00:00,1661.737,news_close,False,-0.04664999999998826,-0.09284116569608354
1,2022-12-19 14:55:00,2022-12-19 15:00:00,1791.925,1788.6675642857144,1798.439871428571,0.15,0.15,0.48861535714282806,0.0,0.024,0.014999999999986358,,0.0,False,0.0,0.0,0,2022-12-19 15:45:00,1788.5675642857145,sl,False,-0.5036153571428145,-1.0306989941693578
-1,2023-02-14 14:25:00,2023-02-14 14:40:00,1849.915,1871.1057142857144,1807.5335714285711,0.02,0.02,0.4238142857142884,0.0,0.0032,0.0004,,0.0,False,0.0,0.0,1,2023-02-15 13:00:00,1835.805,news_close,False,0.282199999999998,0.665857686992272
1,2023-03-28 07:25:00,2023-03-28 07:30:00,1956.185,1952.3721714285714,1963.810657142857,0.13,0.13,0.49566771428571205,0.0,0.020800000000000003,0.012999999999988177,,0.0,False,0.0,0.0,0,2023-03-28 07:40:00,1952.2721714285715,sl,False,-0.5086677142857002,-1.0262272478624557
